kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
45,"Bomst","POS",5301,326,123,777,200,172,87,70,28,27,29,39,21,26,13,10,5,5,1442,1372,2814,6,0,48
46,"Fraustadt","POS",8132,587,284,1386,284,263,119,102,28,40,68,55,41,52,15,18,15,12,2539,2418,4957,17,2,88
46,"Fraustadt","POS",5198,324,138,1047,265,218,117,108,37,31,44,38,26,18,9,14,5,4,1837,1744,3581,10,2,31
47,"Kröben","POS",4331,209,102,812,158,132,46,50,17,33,30,33,22,22,14,14,7,8,1263,1217,2480,4,2,36
47,"Kröben","POS",9784,458,228,1643,360,341,147,154,50,58,57,55,71,84,24,19,33,25,2838,2772,5610,7,2,99
48,"Gnesen","BRO",8287,431,74,996,403,339,133,129,35,29,58,68,30,51,27,37,27,23,2059,1938,3997,5,1,78
48,"Gnesen","BRO",5225,248,56,797,279,279,156,155,46,35,52,43,17,18,13,6,7,8,1625,1548,3173,1,1,52
49,"Wongrowiz","BRO",7109,269,49,828,325,260,116,102,42,43,63,61,19,16,23,7,12,13,1831,1570,3401,2,0,110
49,"Wongrowiz","BRO",3591,126,26,369,140,149,112,102,19,20,24,44,10,8,7,6,6,4,955,918,1873,1,1,44
50,"Berlin","POT",,,,,,,,,,,,,,,,,,,,,,87,21,
51,"Prenzlow","POT",9605,808,314,1328,409,405,154,144,39,53,69,57,73,74,33,29,17,18,3068,2844,5912,32,8,106
52,"Templin","POT",7343,568,206,860,285,238,116,125,23,28,52,43,36,43,16,18,11,6,2017,1911,3928,14,5,75
53,"Angermünde","POT",9668,736,344,1186,347,327,173,158,37,49,58,72,62,76,26,28,11,10,2835,2665,5500,12,6,98
54,"(Ober-)Barnim","POT",10580,864,355,1367,407,386,155,160,44,50,67,67,54,56,20,32,7,7,3055,2833,5888,35,12,110
55,"(Nieder-)Barnim","POT",10180,632,361,1306,344,275,153,151,32,31,50,43,58,63,25,21,5,8,2878,2565,5443,33,3,86
56,"Teltow","POT",13823,1484,592,2220,445,392,181,173,48,53,80,92,66,92,29,43,17,15,4317,3912,8229,54,11,100
57,"Jüterbok","POT",8235,777,305,1283,320,289,119,122,32,33,41,38,69,44,25,15,6,6,2625,2408,5033,10,6,54
58,"Belzig","POT",11074,860,487,1826,455,386,160,148,37,46,70,58,53,65,23,30,6,6,3721,3384,7105,28,8,129
59,"Potsdam","POT",,,,,,,,,,,,,,,,,,,,,,16,2,
60,"(Ost-)Havelland","POT",8713,679,308,1419,345,381,162,148,38,38,67,62,50,72,27,34,2,5,2922,2780,5702,37,10,83
61,"(West-)Havelland","POT",9489,700,377,1475,361,306,169,142,53,52,84,52,53,64,27,31,10,10,3201,3018,6219,26,10,96
62,"Ruppin","POT",11898,855,384,1609,419,372,200,195,48,63,84,67,106,84,35,36,9,15,3719,3469,7188,28,10,97
63,"(Ost-)Priegnitz","POT",10393,781,369,1326,357,328,154,139,46,58,74,60,96,82,31,23,7,9,3433,3062,6495,24,6,93
64,"(West-)Priegnitz","POT",10603,947,454,1364,318,313,157,118,52,48,63,68,80,75,34,30,10,22,3437,3318,6755,22,6,107
65,"Königsberg","FRA",9716,853,379,1108,296,275,124,108,33,28,63,66,51,62,35,25,14,13,2633,2375,5008,20,7,70
65,"Küstrin","FRA",8822,767,376,1121,325,305,155,136,53,33,65,44,51,55,25,14,5,9,2623,2180,4803,26,2,60
66,"Soldin","FRA",6844,456,228,715,277,222,118,118,33,37,45,27,42,26,18,22,7,11,1819,1679,3498,4,2,60
67,"Arnswalde","FRA",6586,268,191,712,241,251,139,135,33,22,43,34,30,35,21,17,8,9,1779,1721,3500,4,1,75
68,"Friedeberg","FRA",8558,620,254,1080,273,268,133,117,49,39,50,48,55,50,28,27,11,11,2237,2050,4287,11,7,50
69,"Landsberg","FRA",11102,783,443,1102,307,276,163,158,56,55,65,59,49,63,52,35,22,21,2892,2708,5600,15,4,89
70,"Lebus","FRA",7863,821,333,1157,269,275,137,110,37,43,53,37,43,40,16,15,6,6,2579,2161,4740,23,7,72
71,"Frankfurt","FRA",6360,789,279,1089,197,215,86,67,20,25,47,37,29,44,21,30,4,13,2099,1982,4081,29,7,43
72,"Sternberg","FRA",11589,791,479,1531,371,326,192,161,56,44,73,61,80,105,37,36,8,8,3379,3124,6503,21,8,112
73,"Züllichau","FRA",7028,457,308,1097,205,187,99,86,30,18,52,39,49,68,25,27,6,15,2163,2089,4252,13,4,60
74,"Guben","FRA",6328,659,218,912,242,215,111,102,22,29,43,34,52,69,18,32,7,7,2135,2068,4203,2,2,47
75,"Krossen","FRA",8117,649,359,1145,242,226,105,114,32,28,53,46,48,84,18,31,9,10,2562,2533,5095,17,5,89
76,"Luckau","FRA",7473,697,251,1181,243,222,116,123,23,29,41,40,67,74,28,19,2,2,2618,2456,5074,13,5,69
77,"Kalau","FRA",6072,508,202,920,201,196,107,94,25,33,35,38,72,66,22,29,10,7,2286,2147,4433,8,2,51
78,"Kottbus","FRA",7876,671,337,1321,320,259,147,126,40,27,35,32,80,69,31,15,10,11,3029,2686,5715,14,0,43
