kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
241,"HALLE","MIN",5518,457,0,1183,0,1640,629,3243,0,6,944
242,"HERFORD","MIN",7951,6672,76,377,86,7211,706,0,24,10,130
243,"HOXTER","MIN",13019,4347,2375,5787,429,12938,77,0,0,4,6529
244,"LUBBECKE","MIN",10225,2139,0,468,455,3062,946,5292,922,3,176
245,"MINDEN","MIN",10685,3157,922,0,0,4079,1812,3809,981,4,0
246,"PADERBORN","MIN",10790,3646,79,136,301,4162,1370,5014,239,5,3514
247,"WARBURG","MIN",9321,3720,178,1948,0,5846,2842,444,186,3,943
248,"WIEDENBRUCK","MIN",9000,0,0,199,0,199,1679,6943,169,10,0
249,"AHAUS","MUN",12409,667,0,507,0,1174,1114,9608,510,3,790
250,"BECKUM","MUN",12418,1503,0,8991,0,10494,514,1402,0,8,4117
251,"BORKEN","MUN",11791,406,92,0,0,498,3373,6911,1000,9,123
252,"KOESFELD","MUN",13678,2959,0,2331,0,5290,2684,5162,533,9,1412
253,"LUDINGHAUSEN","MUN",12658,855,362,3535,131,4883,5278,817,1668,12,1546
254,"MUNSTER","MUN",15622,5595,618,711,0,6924,2130,6420,131,17,96
255,"RECKLINGHAUSEN LANDKREIS","MUN",14168,1221,386,0,539,2146,974,10869,164,15,0
256,"STEINFURT","MUN",13971,1090,1013,794,186,3083,2467,6077,2339,5,1189
257,"TECKLENBURG","MUN",14700,1553,0,481,92,2126,2789,4821,4939,25,986
258,"WARENDORF","MUN",10156,164,0,2295,0,2459,261,6290,1133,13,164
259,"ALTENA","ARN",12066,11715,350,0,0,12065,0,0,0,1,58
260,"ARNSBERG","ARN",12295,11639,529,124,0,12292,0,0,0,3,1541
261,"BOCHUM LANDKREIS","ARN",6536,5262,268,77,0,5607,197,726,0,6,0
262,"BRILON","ARN",14330,13325,0,0,0,13325,1004,0,0,1,2502
263,"DORTMUND LANDKREIS","ARN",8033,3062,411,1992,900,6365,652,1008,0,8,0
264,"HAGEN LANDKREIS","ARN",7568,6549,686,296,36,7567,0,0,0,1,264
265,"HAMM LANDKREIS","ARN",8222,1757,106,2135,466,4464,1831,1922,0,5,0
266,"ISERLOHN","ARN",6014,5363,649,0,0,6012,0,0,0,2,1067
267,"LIPPSTADT","ARN",9076,6858,77,432,56,7423,1296,347,6,4,4147
268,"MESCHEDE","ARN",14183,13777,229,175,0,14181,0,0,0,2,1503
269,"OLPE","ARN",11221,10871,348,0,0,11219,0,0,0,2,615
270,"SIEGEN","ARN",11742,11253,487,0,0,11740,0,0,0,2,0
271,"SOEST","ARN",9624,5955,3256,97,0,9308,70,203,37,6,0
272,"WITTGENSTEIN","ARN",8787,7627,1060,0,98,8785,0,0,0,2,232
273,"BARMEN","DUS",395,106,0,289,0,395,0,0,0,0,172
274,"DUSSELDORF LANDKREIS","DUS",7459,1760,458,229,404,2851,3228,1328,34,18,1334
275,"DUISBURG","DUS",8512,543,0,241,1054,1838,1988,4527,146,13,241
276,"ESSEN LANDKREIS","DUS",517,89,0,428,0,517,0,0,0,0,147
277,"ELBERFELD","DUS",3602,1730,55,1224,100,3109,386,84,19,4,513
278,"GELDERN","DUS",9869,455,309,0,0,764,6257,2770,5,73,0
279,"GLADBACH","DUS",4355,0,0,235,1335,1570,1798,197,786,4,235
280,"GREVENBROICH","DUS",4305,824,0,1973,0,2797,1094,0,409,5,2797
281,"KEMPEN","DUS",7186,2880,0,0,0,2880,2118,1055,1104,29,0
282,"KLEVE","DUS",9222,72,1681,170,918,2841,5240,446,665,30,0
283,"KREFELD LANDKREIS","DUS",3377,394,166,0,110,670,1863,562,268,14,0
284,"LENNEP","DUS",5507,374,0,3914,1216,5504,0,0,0,3,0
285,"METTMANN","DUS",4548,1677,0,2793,0,4470,29,41,0,8,1216
286,"MORS","DUS",10258,0,660,0,1859,2519,5981,1511,203,44,0
287,"NEUSS","DUS",5331,197,280,802,179,1458,2997,771,102,3,961
288,"REES","DUS",9513,46,0,0,3029,3075,1901,4417,59,61,0
289,"SOLINGEN LANDKREIS","DUS",5330,783,163,1921,182,3049,1875,400,0,6,699
290,"WIPPERFURTH","KOL",5659,1356,0,3870,0,5226,432,0,0,1,50
291,"GUMMERSBACH","KOL",5910,254,0,5457,0,5711,199,0,0,0,77
292,"WALDBROL","KOL",5450,98,0,4659,530,5287,161,0,0,2,98
293,"SIEGKREIS","KOL",13904,515,647,9402,0,10564,1777,1550,0,13,64
294,"MULHEIM RHEIN LANDKREIS","KOL",7053,2417,346,0,359,3122,1438,2488,0,5,350
295,"KOLN","KOL",8227,1062,1955,693,0,3710,3885,627,0,5,0
296,"BERGHEIM","KOL",6600,2499,59,493,52,3103,2964,0,526,7,0
297,"EUSKIRCHEN","KOL",6653,559,2798,1835,711,5903,112,632,0,6,37
298,"RHEINBACH","KOL",7207,3770,81,452,615,4918,2273,12,0,4,85
299,"BONN LANDKREIS","KOL",5514,54,917,409,0,1380,4009,121,0,4,0
300,"AACHEN LANDKREIS","AAC",6145,3409,257,310,183,4159,1958,15,0,13,999
301,"AACHEN STADTKREIS","AAC",552,191,16,14,32,253,206,90,0,3,15
302,"DUREN","AAC",10219,3694,0,1771,233,5698,4088,418,0,15,199
303,"ERKELENZ","AAC",5248,2456,186,0,0,2642,892,1604,98,12,1096
304,"EUPEN","AAC",3194,248,0,1661,0,1909,862,114,305,4,248
305,"GEILENKIRCHEN","AAC",3591,1416,243,66,54,1779,1436,320,54,2,0
306,"HEINSBERG","AAC",4409,0,0,0,590,590,2365,1447,0,7,0
307,"JULICH","AAC",5782,3894,260,0,0,4154,1248,218,158,4,0
308,"MALMEDY","AAC",14764,2237,97,9600,633,12567,395,0,1800,2,0
309,"MONTJOIE","AAC",6566,2501,238,2478,0,5217,0,0,1348,1,0
