kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
256,"ERFURT","ERF",157,1218,4,4,26,206,0,0,1,3,0,0,185,1431,4,4
257,"ERFURT","ERF",1926,3952,0,8,244,455,0,2,0,0,0,0,2170,4407,0,10
258,"ZIEGENRUCK","ERF",953,2026,0,27,0,3,0,0,0,0,0,0,953,2029,0,27
259,"SCHLEUSINGEN","ERF",1155,2676,34,509,3,12,6,3,0,0,0,0,1159,2689,40,512
260,"HADERSLEBEN","SCH",5223,9389,83,40,1,4,0,0,0,0,0,0,5232,9409,83,40
261,"APENRADE","SCH",1920,4545,99,17,0,0,0,0,0,0,0,0,1922,4546,99,17
262,"SONDERBURG","SCH",2133,4727,195,28,0,1,0,0,0,0,0,0,2134,4734,196,28
263,"FLENSBURG","SCH",3534,7188,144,34,2,3,0,0,0,0,0,0,3536,7191,144,34
264,"SCHLESWIG","SCH",3846,6635,117,68,1,2,1,1,0,0,0,0,3850,6644,118,69
265,"ECKERNFORDE","SCH",1702,5868,177,113,0,9,0,0,1,0,0,0,1704,5878,177,113
266,"EIDERSTEDT","SCH",950,1931,26,5,0,0,0,0,0,0,0,0,950,1932,26,5
267,"HUSUM","SCH",2690,4920,12,9,12,64,0,0,0,1,0,0,2704,4990,12,9
268,"TONDERN","SCH",4757,8237,34,10,0,0,0,0,0,0,0,0,4757,8238,34,10
269,"OLDENBURG","SCH",1555,8264,198,142,0,7,0,0,0,1,0,0,1555,8272,198,142
270,"PLON","SCH",1439,8311,141,258,1,13,0,0,0,0,0,0,1440,8326,141,258
271,"KIEL","SCH",1612,5245,57,42,0,7,0,0,0,0,0,0,1612,5252,57,42
272,"RENDSBURG","SCH",2771,6975,11,54,1,2,0,0,0,0,0,0,2773,6978,11,54
273,"NORDERDITHMARSCHEN","SCH",1975,4735,22,13,0,200,0,0,0,0,0,0,1975,4935,22,13
274,"SUDERDITHMARSCHEN","SCH",2498,6228,29,9,0,58,0,0,0,0,0,0,2498,6286,29,9
275,"STEINBURG","SCH",2909,7309,49,38,1,8,0,0,0,0,0,0,2910,7317,49,38
276,"SEGEBERG","SCH",2240,7294,8,92,2,6,0,0,0,0,0,0,2242,7300,9,92
277,"STORMARN","SCH",2457,9058,5,84,4,20,0,0,2,0,0,0,2465,9079,5,84
278,"PINNEBERG","SCH",2656,8181,114,149,3,10,0,0,0,0,0,0,2659,8193,114,149
279,"ALTONA","SCH",107,365,0,11,3,9,0,0,0,0,0,0,110,375,0,11
280,"LAUENBURG","SCH",2122,8509,21,312,1,32,0,0,0,0,0,0,2123,8541,21,312
281,"DIEPHOLZ","HAN",6513,7522,2,20,399,537,0,0,1,3,0,0,6923,8073,2,20
282,"HOYA","HAN",5833,6560,6,33,2,3,0,4,0,0,0,0,5836,6565,6,37
283,"NIENBURG","HAN",5703,6949,8,133,2,16,0,1,0,1,0,0,5705,6966,8,134
284,"HANNOVER","HAN",293,698,19,12,8,41,3,1,0,0,0,0,301,739,22,13
285,"HANNOVER","HAN",4602,9178,5,113,9,165,0,3,0,0,0,0,4612,9347,5,116
286,"WENNIGSEN","HAN",2190,6245,5,227,3,280,0,0,1,6,0,0,2194,6535,5,227
287,"HAMELN","HAN",2444,5723,16,183,4,176,0,2,0,0,0,0,2449,5899,16,185
288,"HILDESHEIM","HIL",2419,4570,2,23,746,2382,0,20,0,0,0,0,3166,6952,2,43
