kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
299,"DUSSELDORF LANDKREIS","DUS",127,38,0,"0",0,18,0,17,8,4,7,"61",10,1
300,"METTMANN","DUS",79,3,3,"0",0,0,0,0,2,1,6,"0",0,0
301,"ELBERFELD","DUS",71,1,0,"5",6,16,0,13,6,5,0,"10",11,3
302,"BARMEN","DUS",66,1,0,"8",6,17,5,0,1,0,0,"0",7,0
303,"LENNEP","DUS",105,6,5,"0",0,7,0,0,2,0,3,"3",0,0
304,"SOLINGEN LANDKREIS","DUS",120,5,0,"0",0,13,0,0,2,0,3,"4",0,0
305,"NEUSS","DUS",61,22,0,"0",0,0,0,13,0,3,3,"2",0,0
306,"GREVENBROICH","DUS",81,2,7,"0",0,0,0,0,1,0,5,"0",0,0
307,"GLADBACH","DUS",105,26,4,"0",4,17,10,0,4,1,3,"8",0,1
308,"KOBLENZ LANDKREIS","KOB",73,39,1,"5",3,5,0,21,8,0,23,"44",4,5
309,"SANKT GOAR","KOB",80,6,0,"0",0,5,0,0,1,0,1,"4",0,0
310,"KREUZNACH","KOB",146,7,0,"0",0,10,0,12,2,1,0,"18",7,1
311,"SIMMERN","KOB",122,1,0,"0",0,8,0,0,0,0,0,"0",0,3
312,"ZELL","KOB",64,6,3,"0",0,0,9,0,0,0,0,"5",0,0
313,"KOCHEM","KOB",74,9,0,"0",0,0,0,0,1,0,2,"0",0,3
314,"MAYEN","KOB",93,24,0,"0",1,9,9,0,1,0,1,"0",0,1
315,"ADENAU","KOB",62,2,0,"0",0,0,0,0,0,0,0,"0",0,0
316,"AHRWEILER","KOB",65,11,0,"0",0,5,0,0,1,5,2,"39",0,0
317,"NEUWIED","KOB",126,18,2,"0",0,10,8,0,2,0,19,"24",0,7
318,"ALTENKIRCHEN","KOB",117,2,7,"0",0,0,0,0,1,0,1,"1",0,0
